id,pres1_jenjang,pres2_jenjang,pres3_jenjang,juara_pres1,juara_pres2,juara_pres3
27652,,,,,,
27653,,,,,,
27654,Nasional,,,Juara 1,,
27655,,,,,,
27656,Nasional,Nasional,Propinsi,,Juara 3,Juara 1
27657,,,,,,
27660,,,,,,
27661,,,,,,
27662,,,,,,
27664,,,,,,
27665,,,,,,
27667,,,,,,
27668,,,,,,
27669,,,,,,
27670,,,,,,
27672,,,,,,
27673,,,,,,
27674,,,,,,
27675,,,,,,
27676,,,,,,
27677,Nasional,,,Medali Emas,,
27678,,,,,,
27679,Internasional,Propinsi,Nasional,Medali Emas,Juara 1,
27680,,,,,,
27682,Nasional,,,,,
27684,Kabupaten/Kota,Nasional,Nasional,Juara 1,,
27685,,,,,,
27686,,,,,,
27687,,,,,,
27689,,,,,,
27690,Nasional,Nasional,Kabupaten/Kota,,,Juara 1
27691,Nasional,Nasional,Nasional,,,
27693,,,,,,
27695,Propinsi,,,Juara 2,,
27696,,,,,,
27698,Internasional,,,,,
27699,,,,,,
27700,,,,,,
27701,,,,,,
27702,Nasional,Nasional,Nasional,Medali Emas,,
27704,Propinsi,Propinsi,Nasional,,,
27705,Kabupaten/Kota,,,,,
27706,,,,,,
27707,Nasional,Nasional,Propinsi,,,
27709,,,,,,
27710,,,,,,
27711,,,,,,
27712,,,,,,
27713,Nasional,,,,,
27714,,,,,,
27715,,,,,,
27717,,,,,,
27719,,,,,,
27720,Nasional,Kabupaten/Kota,,Medali Perak,,
27721,,,,,,
27723,,,,,,
27724,,,,,,
27725,,,,,,
27728,,,,,,
27729,,,,,,
27730,,,,,,
27731,,,,,,
27732,,,,,,
27733,,,,,,
27734,,,,,,
27735,Propinsi,Nasional,Nasional,,,
27736,,,,,,
27737,Propinsi,Kabupaten/Kota,Nasional,Juara 2,Juara 3,Juara 1
27738,Nasional,,,Medali Perak,,
27739,,,,,,
27740,Propinsi,Nasional,,Medali Perunggu,,
27741,,,,,,
27742,,,,,,
27743,Nasional,Nasional,,,,
27744,,,,,,
27745,,,,,,
27747,,,,,,
27749,,,,,,
27750,Nasional,Kabupaten/Kota,Nasional,,,
27751,Kabupaten/Kota,,,,,
27752,,,,,,
27753,Kabupaten/Kota,Kabupaten/Kota,Kabupaten/Kota,,Juara 3,Juara 3
27754,Nasional,Nasional,Nasional,,,
27755,,,,,,
27756,,,,,,
27757,,,,,,
27758,,,,,,
27759,Kabupaten/Kota,,,,,
27760,,,,,,
27762,Nasional,,,Juara 1,,
27763,,,,,,
27766,Nasional,,,,,
27767,Nasional,,,,,
27768,,,,,,
27769,,,,,,
27770,,,,,,
27771,Nasional,,,,,
27773,,,,,,
27774,Nasional,,,,,
27775,Nasional,Nasional,,,,
27776,,,,,,
27778,,,,,,
27779,,,,,,
27780,,,,,,
27783,,,,,,
27784,,,,,,
27786,Nasional,Nasional,Kabupaten/Kota,Medali Perak,Medali Perak,
27788,Nasional,Nasional,,,,
27789,,,,,,
27790,,,,,,
27791,,,,,,
27792,,,,,,
27793,Propinsi,Nasional,Nasional,,Juara 3,Medali Emas
27795,Propinsi,Nasional,Propinsi,Juara 2,,
27796,Kabupaten/Kota,,,,,
27797,Kabupaten/Kota,Kabupaten/Kota,Propinsi,Juara 3,Juara 2,Juara 1
27798,,,,,,
27800,,,,,,
27801,,,,,,
27802,Propinsi,Propinsi,Kabupaten/Kota,Medali Perak,Medali Emas,
27805,Nasional,,,,,
27807,Propinsi,Nasional,,Juara 1,,
27808,,,,,,
27809,Nasional,,,Juara 2,,
27810,,,,,,
27811,,,,,,
27813,Nasional,Internasional,Internasional,,,
27814,,,,,,
27815,,,,,,
27816,,,,,,
27817,Nasional,Nasional,Nasional,,,
27818,,,,,,
27820,,,,,,
27821,,,,,,
27822,,,,,,
27823,,,,,,
27825,Propinsi,,,,,
27827,Nasional,,,Juara 2,,
27828,,,,,,
27829,Nasional,Nasional,Nasional,Juara 3,,
27832,,,,,,
27833,,,,,,
27835,Nasional,Propinsi,Nasional,,Juara 2,
27836,,,,,,
27837,Nasional,Nasional,,,,
27838,,,,,,
27839,,,,,,
27842,Kabupaten/Kota,Kabupaten/Kota,Propinsi,,,
27843,,,,,,
27844,Kabupaten/Kota,,,,,
27846,Nasional,Internasional,Nasional,,,
27847,,,,,,
27848,Internasional,Nasional,Nasional,,,
27849,,,,,,
27850,,,,,,
27852,Nasional,Nasional,Nasional,,,
27853,,,,,,
27854,,,,,,
27855,Propinsi,Nasional,,,,
27856,Nasional,,,,,
27857,Kabupaten/Kota,,,Juara 1,,
27859,Kabupaten/Kota,,,,,
27860,,,,,,
27861,,,,,,
27862,,,,,,
27863,Kabupaten/Kota,,,,,
27865,,,,,,
27866,,,,,,
27867,Propinsi,Propinsi,Nasional,,,
27869,,,,,,
27871,,,,,,
27873,,,,,,
27874,Nasional,Nasional,,,,
27876,Internasional,Nasional,Internasional,Medali Emas,Medali Emas,Medali Emas
27877,,,,,,
27878,Propinsi,,,Juara 1,,
27879,,,,,,
27880,,,,,,
27881,Nasional,Nasional,Kabupaten/Kota,,,Juara 1
27882,,,,,,
27883,Nasional,Nasional,,,Medali Perunggu,
27884,Propinsi,Nasional,Propinsi,Juara 3,,Juara 1
27885,,,,,,
27886,,,,,,
27887,,,,,,
27888,Kabupaten/Kota,Kabupaten/Kota,Kabupaten/Kota,Juara 1,,
27889,,,,,,
27890,Nasional,,,,,
27891,,,,,,
27892,,,,,,
27893,,,,,,
27894,,,,,,
27895,,,,,,
27896,Nasional,Nasional,Nasional,Medali Perunggu,,
27898,,,,,,
27899,,,,,,
27900,Kabupaten/Kota,Kabupaten/Kota,Kabupaten/Kota,,,
27901,Kabupaten/Kota,,,,,
27903,Nasional,Nasional,Nasional,,,
27904,Kabupaten/Kota,Internasional,Nasional,Juara 1,,
27905,Nasional,,,,,
27906,,,,,,
27907,Kabupaten/Kota,,,,,
27908,,,,,,
27909,,,,,,
27910,Kabupaten/Kota,,,Juara 2,,
27911,Kabupaten/Kota,,,,,
27912,,,,,,
27913,,,,,,
27914,,,,,,
27915,,,,,,
27916,Kabupaten/Kota,Nasional,,Juara 2,,
27917,Internasional,,,Medali Perunggu,,
27919,,,,,,
27920,,,,,,
27921,,,,,,
27923,Nasional,Kabupaten/Kota,Nasional,Medali Perak,Juara 1,
27925,,,,,,
27926,,,,,,
27929,,,,,,
27930,,,,,,
27931,,,,,,
27932,,,,,,
27933,Kabupaten/Kota,,,,,
27934,,,,,,
27935,Nasional,Nasional,Nasional,Juara 2,,
27936,,,,,,
27937,,,,,,
27938,Nasional,Nasional,Nasional,,,
27939,Nasional,,,,,
27940,Internasional,Nasional,Propinsi,Medali Emas,,Juara 1
27941,Nasional,Nasional,Kabupaten/Kota,,,
27943,Nasional,Nasional,,,,
27944,Nasional,Kabupaten/Kota,Nasional,,,
27945,Nasional,,,,,
27948,,,,,,
27949,Kabupaten/Kota,Kabupaten/Kota,Nasional,Juara 1,,
27950,,,,,,
27951,Nasional,Nasional,Nasional,,,
27952,,,,,,
27954,Nasional,,,,,
27956,Nasional,Nasional,Nasional,,,
27957,Kabupaten/Kota,,,,,
27958,Internasional,Internasional,Nasional,Medali Perak,Medali Perak,Juara 2
27959,,,,,,
27960,Nasional,,,,,
27961,Nasional,Nasional,,,,
27963,,,,,,
27964,Kabupaten/Kota,Nasional,Nasional,,,Medali Perunggu
27965,,,,,,
27966,,,,,,
27968,Nasional,Propinsi,Nasional,,,
27969,,,,,,
27970,,,,,,
27971,,,,,,
27972,Nasional,Nasional,Nasional,,Medali Perak,
27973,Internasional,Nasional,Nasional,,,Medali Perak
27974,,,,,,
27975,,,,,,
27976,Internasional,Nasional,Nasional,Medali Perak,,
27977,Internasional,,,,,
27978,Nasional,Kabupaten/Kota,Kabupaten/Kota,Juara 2,Juara 1,Juara 2
27980,Kabupaten/Kota,,,,,
27981,,,,,,
27983,,,,,,
27984,Internasional,Internasional,Internasional,Medali Perak,Medali Perunggu,
27985,,,,,,
27986,Nasional,Nasional,Nasional,,,
27987,Nasional,Internasional,Nasional,Medali Perak,Medali Perunggu,Medali Perak
27988,Nasional,Nasional,,,,
27989,,,,,,
27990,Nasional,Nasional,,,Medali Perunggu,
27991,Nasional,Kabupaten/Kota,,,,
27992,,,,,,
27993,,,,,,
27994,,,,,,
27995,Nasional,,,Juara 1,,
27996,,,,,,
27997,Kabupaten/Kota,,,,,
27998,,,,,,
27999,Nasional,,,Medali Perunggu,,
28000,Internasional,Internasional,Nasional,Medali Perak,Medali Perak,Medali Perak
28001,,,,,,
28002,Internasional,Internasional,Nasional,Medali Emas,Medali Perak,
28003,Kabupaten/Kota,Propinsi,,Juara 3,,
28004,,,,,,
28005,,,,,,
28006,Nasional,,,Medali Perunggu,,
28007,Internasional,Kabupaten/Kota,,Medali Emas,,
28008,,,,,,
28010,Propinsi,Nasional,Nasional,Medali Perak,,
28011,,,,,,
28012,,,,,,
28014,,,,,,
28015,,,,,,
28016,,,,,,
28017,,,,,,
28018,,,,,,
28019,Internasional,Nasional,Nasional,Medali Perunggu,Medali Emas,Medali Perak
28020,Nasional,,,Juara 2,,
28021,Nasional,Nasional,Propinsi,Medali Perak,Medali Perunggu,Medali Perak
28022,Kabupaten/Kota,Propinsi,Propinsi,,Juara 3,
28023,Nasional,Nasional,Nasional,Juara 2,Juara 3,
28024,Nasional,Nasional,Nasional,,,
28025,Kabupaten/Kota,,,Juara 3,,
28026,,,,,,
28027,,,,,,
28028,Kabupaten/Kota,Kabupaten/Kota,Internasional,Juara 1,,
28029,,,,,,
28030,,,,,,
28032,,,,,,
28033,Internasional,Nasional,Nasional,,,
28034,,,,,,
28035,,,,,,
28036,Nasional,Nasional,,,,
28039,Nasional,Nasional,,,,
28040,Nasional,Nasional,Propinsi,,Medali Perunggu,
28041,Kabupaten/Kota,,,Juara 3,,
28042,,,,,,
28043,Nasional,,,,,
28045,Internasional,Internasional,Kabupaten/Kota,Medali Perunggu,,
28046,Kabupaten/Kota,,,,,
28047,Nasional,Kabupaten/Kota,,Medali Perunggu,,
28048,,,,,,
28049,Nasional,Nasional,Nasional,,,
28050,Nasional,Nasional,Nasional,Medali Emas,Medali Emas,
28051,Nasional,Propinsi,Nasional,,Juara 1,
28054,Nasional,Nasional,Kabupaten/Kota,,,
28055,,,,,,
28057,Propinsi,Nasional,Nasional,,Medali Perunggu,Medali Perunggu
28058,Kabupaten/Kota,Kabupaten/Kota,Kabupaten/Kota,Juara 1,Juara 3,
28059,,,,,,
28060,,,,,,
28061,,,,,,
28063,Nasional,Kabupaten/Kota,Internasional,,,
28065,,,,,,
28066,,,,,,
28067,Nasional,Kabupaten/Kota,Internasional,Juara 1,Juara 2,Medali Emas
28068,,,,,,
28069,Nasional,Nasional,Nasional,,,
28070,,,,,,
28071,,,,,,
28072,,,,,,
28075,,,,,,
28076,,,,,,
28077,,,,,,
28078,Kabupaten/Kota,Internasional,Kabupaten/Kota,,,
28079,,,,,,
28084,,,,,,
28085,Kabupaten/Kota,,,,,
28086,,,,,,
28089,,,,,,
28090,Internasional,,,Medali Perak,,
28091,,,,,,
28092,Kabupaten/Kota,,,,,
28093,Internasional,Internasional,Propinsi,Medali Emas,Medali Perunggu,
28094,,,,,,
28095,,,,,,
28097,,,,,,
28099,Nasional,Kabupaten/Kota,Nasional,,Juara 1,
28100,Internasional,Internasional,Nasional,Medali Emas,Medali Perunggu,Medali Perunggu
28101,Nasional,Nasional,Nasional,,,
28102,Kabupaten/Kota,Nasional,Nasional,,Medali Perunggu,
28103,,,,,,
28104,,,,,,
28106,,,,,,
28107,,,,,,
28108,Internasional,Internasional,Nasional,Medali Emas,,
28109,,,,,,
28110,Nasional,,,,,
28111,Internasional,Nasional,Nasional,Medali Perunggu,,Medali Perunggu
28112,,,,,,
28113,,,,,,
28114,,,,,,
28115,Nasional,,,,,
28116,,,,,,
28117,Kabupaten/Kota,Kabupaten/Kota,,Juara 2,Juara 2,
28118,Nasional,,,Medali Perunggu,,
28119,,,,,,
28121,Internasional,Nasional,Nasional,Medali Perunggu,Juara 2,
28122,,,,,,
28123,,,,,,
28124,Nasional,Nasional,Nasional,,,
28125,,,,,,
28127,,,,,,
28128,,,,,,
28131,,,,,,
28132,,,,,,
28133,Nasional,Nasional,,Medali Perak,Medali Perunggu,
28136,,,,,,
28137,Nasional,Nasional,Nasional,Juara 3,,
28140,,Kabupaten/Kota,,,,
28141,,,,,,
28144,,,,,,
28145,Internasional,,,,,
28146,,,,,,
28147,,,,,,
28148,Internasional,,,,,
28149,Nasional,,,Juara 3,,
28151,,,,,,
28152,,,,,,
28153,Kabupaten/Kota,Propinsi,Propinsi,Juara 3,,
28154,,,,,,
28155,Nasional,Internasional,Nasional,,,
28156,,,,,,
28157,,,,,,
28158,,,,,,
28159,Nasional,,,Medali Perunggu,,
28160,,,,,,
28182,Nasional,,,,,
28183,,,,,,
28184,,,,,,
28186,,,,,,
28187,Kabupaten/Kota,,,Juara 2,,
28188,,,,,,
28189,Nasional,Kabupaten/Kota,Nasional,Juara 1,Juara 1,Juara 1
28190,,,,,,
28191,Nasional,Nasional,Nasional,Medali Perunggu,,
28192,,,,,,
28193,Kabupaten/Kota,,,,,
28194,,,,,,
28195,,,,,,
28196,Kabupaten/Kota,Kabupaten/Kota,Nasional,Juara 1,Juara 1,
28197,Nasional,,,,,
28198,Nasional,,,Medali Perunggu,,
28199,Nasional,Nasional,,,,
28200,,,,,,
28201,,,,,,
28202,Nasional,,,,,
28203,,,,,,
28204,Internasional,,,Medali Emas,,
28205,Nasional,Kabupaten/Kota,,,,
28206,,,,,,
28208,Kabupaten/Kota,Kabupaten/Kota,Nasional,Juara 1,,
28211,Nasional,Kabupaten/Kota,,,,
28213,,,,,,
28214,,,,,,
28215,,,,,,
28216,Nasional,Nasional,,Juara 1,,
28217,,,,,,
28218,,,,,,
28219,Kabupaten/Kota,Nasional,Nasional,,,
28220,,,,,,
28221,Kabupaten/Kota,,,Juara 1,,
28222,Nasional,Nasional,,,,
28223,Propinsi,Propinsi,Nasional,,,Juara 3
28225,Kabupaten/Kota,,,Juara 3,,
28228,,,,,,
28229,,,,,,
28230,,Kabupaten/Kota,Kabupaten/Kota,,Juara 2,
28232,,,,,,
28233,,,,,,
28234,,,,,,
28235,Nasional,,Propinsi,,,
28236,,,,,,
28237,Nasional,Nasional,Nasional,,,
28238,Nasional,,,,,
28239,Kabupaten/Kota,,,,,
28240,,,,,,
28241,Kabupaten/Kota,,,Juara 2,,
28243,Nasional,Nasional,Nasional,,,
28245,Internasional,,,,,
28246,,,,,,
28247,,,,,,
28248,Nasional,,,,,
28249,,,,,,
28251,,,,,,
28252,,,,,,
28254,,,,,,
28255,Nasional,Nasional,Nasional,Juara 3,,Juara 2
28256,Internasional,Kabupaten/Kota,Kabupaten/Kota,,,
28257,,,,,,
28258,,,,,,
28259,,,,,,
28260,Propinsi,Nasional,,,,
28262,,,,,,
28263,Kabupaten/Kota,Nasional,,Juara 1,,
28265,,,,,,
28267,,,,,,
28268,Nasional,,,,,
28269,,,,,,
28271,,,,,,
28272,,,,,,
28273,Nasional,Nasional,Nasional,,,
28275,,,,,,
28277,Kabupaten/Kota,,,Juara 1,,
28278,,,,,,
28279,Internasional,Internasional,Nasional,Medali Emas,Medali Perak,Juara 2
28280,,,,,,
28281,,,,,,
28282,,,,,,
28284,Internasional,Nasional,,Medali Perak,Medali Perak,
28285,Propinsi,,,Juara 1,,
28287,,,,,,
28289,,,,,,
28290,,,,,,
28291,,,,,,
28292,Nasional,Nasional,Kabupaten/Kota,Medali Emas,Medali Emas,
28294,Nasional,Nasional,Nasional,,,
28295,,,,,,
28296,Nasional,,,,,
28297,,,,,,
28299,,,,,,
28301,Kabupaten/Kota,Propinsi,Kabupaten/Kota,Juara 1,,
28303,,,,,,
28304,,,,,,
28305,,,,,,
28306,,,,,,
28307,Nasional,,,Juara 1,,
28308,Propinsi,Nasional,Kabupaten/Kota,Juara 3,,Juara 1
28309,,,,,,
28310,,,,,,
28311,,,,,,
28312,,,,,,
28313,Propinsi,Kabupaten/Kota,Nasional,Medali Perunggu,Medali Perak,
28314,,,,,,
28316,Kabupaten/Kota,,,,,
28317,,,,,,
28318,,,,,,
28319,Kabupaten/Kota,,,,,
28321,,,,,,
28322,,,,,,
28323,,,,,,
28324,,,,,,
28325,,,,,,
28326,,,,,,
28327,,,,,,
28329,Propinsi,,,,,
28331,,,,,,
28332,Nasional,Nasional,Kabupaten/Kota,,Medali Perak,
28334,,,,,,
28335,Nasional,,,Medali Perak,,
28336,,,,,,
28337,Internasional,,,,,
28338,Kabupaten/Kota,,,Juara 3,,
28339,,,,,,
28340,,,,,,
28343,,,,,,
28344,,,,,,
28345,Propinsi,,,,,
28347,,,,,,
28348,,,,,,
28350,,,,,,
28352,Nasional,Nasional,Nasional,Medali Emas,Medali Emas,Medali Emas
28354,,,,,,
28355,,,,,,
28356,,,,,,
28357,Nasional,Propinsi,Nasional,Medali Emas,Juara 3,
28358,Nasional,Nasional,Internasional,Medali Emas,,
28359,,,,,,
28360,Propinsi,,,Juara 2,,
28361,,,,,,
28362,Propinsi,Propinsi,Kabupaten/Kota,,,Juara 2
28363,Kabupaten/Kota,,,,,
28364,,,,,,
28365,Nasional,Internasional,Nasional,Juara 1,,
28367,,,,,,
28368,,,,,,
28369,,,,,,
28370,Nasional,Kabupaten/Kota,Propinsi,,,
28372,,,,,,
28373,Kabupaten/Kota,Nasional,Nasional,Juara 3,Medali Emas,Medali Perak
28374,,,,,,
28376,,,,,,
28377,,,,,,
28378,Propinsi,,,Juara 1,,
28381,Kabupaten/Kota,Nasional,Nasional,,,
28382,,,,,,
28383,Propinsi,,,Juara 2,,
28384,Nasional,Nasional,,,,
28385,Kabupaten/Kota,,,,,
28386,Nasional,Nasional,Nasional,Juara 3,,
28387,,,,,,
28388,Nasional,Nasional,,,,
28389,,,,,,
28390,Kabupaten/Kota,Nasional,Nasional,Juara 3,,
28391,,,,,,
28392,,,,,,
28393,Nasional,Nasional,Nasional,Juara 3,,
28394,,,,,,
28395,,,,,,
28396,Kabupaten/Kota,,,Juara 3,,
28397,,,,,,
28398,,,,,,
28399,,,,,,
28400,,,,,,
28401,,,,,,
28402,Kabupaten/Kota,,,,,
28403,Propinsi,Propinsi,,,,
28406,,,,,,
28407,,,,,,
28408,,,,,,
28409,Nasional,Nasional,,Juara 2,,
28410,,,,,,
28411,,,,,,
28412,Kabupaten/Kota,Propinsi,Internasional,Juara 1,,
28413,Nasional,,,,,
28414,,,,,,
28415,Nasional,Nasional,Nasional,Medali Perak,,
28416,,,,,,
28417,,,,,,
28420,,,,,,
28421,,,,,,
28422,,,,,,
28423,,,,,,
28424,,,,,,
28425,,,,,,
28427,Kabupaten/Kota,Propinsi,Nasional,Juara 3,,Juara 2
28428,,,,,,
28429,Internasional,Nasional,,Medali Perunggu,,
28430,,,,,,
28431,Kabupaten/Kota,Propinsi,Nasional,Juara 1,,Juara 1
28432,,,,,,
28433,,,,,,
28434,Propinsi,,,Juara 1,,
28435,,,,,,
28436,,,,,,
28437,Nasional,,,Medali Perak,,
28438,Nasional,Nasional,Nasional,,,
28439,Kabupaten/Kota,,,,,
28440,Kabupaten/Kota,Kabupaten/Kota,,,,
28441,,,,,,
28442,Nasional,,,,,
28443,Kabupaten/Kota,,,,,
28444,Kabupaten/Kota,Kabupaten/Kota,Kabupaten/Kota,Juara 1,Juara 2,
28445,Kabupaten/Kota,Kabupaten/Kota,Nasional,Juara 3,Juara 2,Medali Emas
28446,Nasional,Nasional,Kabupaten/Kota,,,
28447,,,,,,
28450,Nasional,,,Juara 1,,
28451,,,,,,
28452,Nasional,Nasional,,,,
28453,,,,,,
28454,Kabupaten/Kota,,,Juara 3,,
28455,Nasional,,,,,
28456,Nasional,Nasional,,,,
28459,Propinsi,,,,,
28461,Propinsi,Nasional,Propinsi,,Juara 1,Juara 1
28463,Kabupaten/Kota,,,,,
28465,,,,,,
28466,,,,,,
28468,,,,,,
28470,,,,,,
28471,,,,,,
28473,Nasional,Nasional,,,,
28474,,,,,,
28475,,,,,,
28476,,,,,,
28477,,,,,,
28478,Propinsi,Nasional,,Juara 1,,
28479,,,,,,
28480,,,,,,
28481,,,,,,
28482,,,,,,
28483,,,,,,
28484,Nasional,Nasional,Nasional,,,
28486,,,,,,
28487,Kabupaten/Kota,Kabupaten/Kota,,,,
28488,,,,,,
28489,Nasional,Nasional,Nasional,,,
28492,Nasional,Propinsi,Nasional,,,
28494,,,,,,
28495,,,,,,
28497,Nasional,Nasional,Nasional,Juara 1,,
28498,,,,,,
28499,Kabupaten/Kota,Kabupaten/Kota,,,,
28500,,,,,,
28501,Kabupaten/Kota,Kabupaten/Kota,,,,
28502,,,,,,
28503,,,,,,
28504,Kabupaten/Kota,,,,,
28505,,,,,,
28507,,,,,,
28508,Nasional,,,,,
28509,,,,,,
28510,Nasional,Internasional,Nasional,Medali Perak,,
28511,Nasional,Propinsi,,,,
28512,,,,,,
28514,Nasional,Kabupaten/Kota,Kabupaten/Kota,,Juara 3,
28515,,,,,,
28516,,,,,,
28517,Nasional,,,,,
28518,,,,,,
28521,Propinsi,,,,,
28522,,,,,,
28523,,,,,,
28524,,,,,,
28525,,,,,,
28528,Kabupaten/Kota,Kabupaten/Kota,Nasional,Juara 1,,
28529,,,,,,
28530,Nasional,Nasional,Nasional,Medali Perunggu,,Medali Perunggu
28531,,,,,,
28533,Nasional,Nasional,Nasional,,,
28534,Nasional,,,Juara 1,,
28536,,,,,,
28538,,,,,,
28539,Internasional,Propinsi,Nasional,,Medali Emas,
28540,Propinsi,Nasional,Nasional,,,
28541,,,,,,
28542,,,,,,
28543,,,,,,
28546,,,,,,
28547,,,,,,
28548,,,,,,
28549,Nasional,Nasional,,,,
28550,Nasional,,,,,
28551,,,,,,
28552,,,,,,
28553,,,,,,
28554,,,,,,
28555,,,,,,
28556,Nasional,,,,,
28557,,,,,,
28558,,,,,,
28559,,,,,,
28560,,,,,,
28561,,,,,,
28563,Nasional,Nasional,Nasional,Juara 3,,
28564,Propinsi,Kabupaten/Kota,,Juara 3,Juara 2,
28565,,,,,,
28566,Nasional,,,Medali Perunggu,,
28567,,,,,,
28568,Kabupaten/Kota,,,Juara 1,,
28569,Kabupaten/Kota,Kabupaten/Kota,,,,
28570,,,,,,
28572,,,,,,
28574,,,,,,
28575,Nasional,,,,,
28576,,,,,,
28577,Nasional,Nasional,Propinsi,Medali Emas,Medali Emas,
28578,Nasional,,,,,
28580,Nasional,Internasional,,Juara 1,Juara 3,
28581,,,,,,
28582,,,,,,
28583,Nasional,Nasional,Nasional,,,
28584,,,,,,
28586,,,,,,
28587,Nasional,Kabupaten/Kota,Kabupaten/Kota,Juara 2,,
28588,,,,,,
28590,Kabupaten/Kota,Nasional,,,,
28591,Kabupaten/Kota,,,,,
28592,Nasional,,,Medali Perak,,
28593,,,,,,
28594,Nasional,Nasional,,Juara 3,,
28595,,,,,,
28596,Nasional,Nasional,Nasional,,,
28597,,,,,,
28598,Propinsi,Kabupaten/Kota,,Juara 2,,
28599,Nasional,Nasional,Propinsi,Medali Emas,Medali Perak,
28602,Kabupaten/Kota,Nasional,Nasional,,,
28603,,,,,,
28604,,,,,,
28605,,,,,,
28606,Propinsi,,,Juara 1,,
28607,,,,,,
28608,,,,,,
28609,,,,,,
28611,Propinsi,Propinsi,Kabupaten/Kota,Juara 3,Juara 2,
28612,Propinsi,Propinsi,,Juara 3,,
28614,,,,,,
28615,Kabupaten/Kota,,,,,
28617,,,,,,
28618,,,,,,
28620,,,,,,
28621,,,,,,
28622,Nasional,Nasional,Kabupaten/Kota,,,Juara 3
28623,,,,,,
28625,,,,,,
28627,Kabupaten/Kota,,,Juara 1,,
28629,,,,,,
28630,,,,,,
28632,Nasional,,,Medali Perunggu,,
28633,,,,,,
28634,Kabupaten/Kota,Nasional,,,,
28635,,,,,,
28636,,,,,,
28637,,,,,,
28638,,,,,,
28639,Nasional,Nasional,,,,
28640,Propinsi,,,Juara 1,,
28641,Nasional,Nasional,Nasional,Juara 1,Juara 1,Juara 2
28642,Nasional,Nasional,,,,
28643,Nasional,Nasional,Nasional,Medali Emas,Medali Perak,
28644,,,,,,
28645,,,,,,
28646,,,,,,
28647,,,,,,
28649,,,,,,
28650,Internasional,Kabupaten/Kota,,Medali Perunggu,,
28651,Kabupaten/Kota,,,,,
28652,Nasional,,,,,
28653,,,,,,
28654,Nasional,Nasional,,,,
28655,,,,,,
28656,,,,,,
28658,Nasional,Nasional,,Juara 1,Juara 1,
28659,,,,,,
28660,,,,,,
28661,Nasional,,,,,
28662,,,,,,
28663,Nasional,Kabupaten/Kota,,,,
28664,,,,,,
28665,,,,,,
28666,Nasional,Propinsi,Propinsi,Juara 3,,
28667,,,,,,
28668,Nasional,Nasional,Nasional,,Juara 2,Juara 1
28669,,,,,,
28670,,,,,,
28671,,,,,,
28673,,,,,,
28674,,,,,,
28675,,,,,,
28676,,,,,,
28677,Kabupaten/Kota,Nasional,,,,
28678,,,,,,
28679,,,,,,
28680,,,,,,
28681,,,,,,
28682,Nasional,Nasional,Propinsi,Juara 3,Medali Emas,
28683,,,,,,
28684,Internasional,Nasional,,,,
28685,,,,,,
28686,,,,,,
28687,Kabupaten/Kota,Kabupaten/Kota,Propinsi,Juara 2,Juara 1,Juara 3
28689,Nasional,Nasional,Nasional,,,
28690,,,,,,
28692,,,,,,
28693,Nasional,,,,,
28694,Nasional,,,,,
28696,,,,,,
28697,,,,,,
28698,Nasional,,,Juara 3,,
28699,Nasional,Nasional,Propinsi,Juara 2,Juara 3,Juara 2
28700,,,,,,
28701,Nasional,Internasional,Nasional,Medali Perak,,
28702,Propinsi,Internasional,Internasional,,,
28703,,,,,,
28705,,,,,,
28706,,,,,,
28708,,,,,,
28709,,,,,,
28712,Kabupaten/Kota,Kabupaten/Kota,,,,
28713,,,,,,
28715,,,,,,
28716,Nasional,Nasional,,Medali Emas,,
28717,,,,,,
28718,Kabupaten/Kota,,,Juara 1,,
28719,,,,,,
28721,,,,,,
28722,Kabupaten/Kota,Nasional,,Juara 1,,
28723,,,,,,
28724,Nasional,Nasional,,Medali Perak,Medali Perunggu,
28725,Kabupaten/Kota,Kabupaten/Kota,Nasional,Juara 2,Juara 1,
28726,,,,,,
28727,Propinsi,Nasional,Kabupaten/Kota,Juara 2,Juara 1,
28728,,,,,,
28729,Internasional,Nasional,Internasional,,,
28732,,,,,,
28734,Nasional,Nasional,Nasional,Medali Emas,Medali Perunggu,
28735,Propinsi,Propinsi,Propinsi,Juara 3,Juara 1,
28736,Internasional,Nasional,Internasional,,,
28737,,,,,,
28738,,,,,,
28739,Nasional,Nasional,Kabupaten/Kota,Medali Perak,,
28740,,,,,,
28741,,,,,,
28744,,,,,,
28745,,,,,,
28746,,,,,,
28747,,,,,,
28748,Nasional,Nasional,,,,
28749,Propinsi,Propinsi,Propinsi,,Juara 1,
28750,,,,,,
28751,Kabupaten/Kota,Kabupaten/Kota,,Juara 1,Juara 3,
28752,Internasional,Nasional,,,,
28754,,,,,,
28755,Kabupaten/Kota,,,Juara 1,,
28756,,,,,,
28757,Nasional,,,Medali Perunggu,,
28758,,,,,,
28759,Nasional,Nasional,Nasional,Medali Emas,Medali Perak,Medali Perunggu
28760,Nasional,,,,,
28761,Nasional,Nasional,Internasional,,,
28762,,,,,,
28763,Nasional,Nasional,,,,
28764,Nasional,Nasional,Internasional,Juara 1,Juara 2,
28765,,,,,,
28766,Nasional,Nasional,Nasional,Medali Emas,Medali Perak,
28767,Nasional,Nasional,,Juara 2,Medali Emas,
28768,,,,,,
28769,,,,,,
28771,Propinsi,,,,,
28772,Nasional,,,,,
28773,,,,,,
28774,Nasional,,,,,
28776,,,,,,
